N,P,K,temperature,humidity,ph,rainfall,label,Primary_Fertilizer,Soil_Texture,Soil_Texture_Label,N_to_P_ratio,K_to_N_ratio
85,22,53,25.96534238,89.77076659,6.849471704,59.46338556,watermelon,Urea,Clay,0,3.695652174,0.61627907
92,7,45,26.70607759,81.14149505,6.944640222,51.51033554,watermelon,Urea,Clay,0,11.5,0.483870968
90,48,45,24.06475727,71.31342851,6.509174789,153.6390212,jute,Calcium Ammonium Nitrate,Sandy,3,1.836734694,0.494505495
56,58,49,37.13165026,94.60761797,6.69215564,172.4788062,papaya,Diammonium Phosphate (DAP),Clay,0,0.949152542,0.859649123
89,11,47,29.78714005,94.65343534,6.327822962,27.8659442,muskmelon,Calcium Ammonium Nitrate,Clay,0,7.416666667,0.522222222
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,maize,Urea,Clay,0,1.461538462,0.233766234
80,90,47,26.59743595,79.35898915,6.21084479,107.3944717,banana,Superphosphate,Clay,0,0.879120879,0.580246914
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,maize,Calcium Ammonium Nitrate,Loam,1,1.180327869,0.342465753
70,43,40,24.35564134,88.80391021,6.176860192,169.1168028,jute,Calcium Ammonium Nitrate,Clay,0,1.590909091,0.563380282
81,18,50,26.80750629,88.22874955,6.429788073,58.79889057,watermelon,Urea,Clay,0,4.263157895,0.609756098
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,Calcium Ammonium Nitrate,Clay,0,1.853658537,0.558441558
52,65,20,32.81705216,66.15665137,6.814301033,68.83924882,blackgram,Diammonium Phosphate (DAP),Sandy,3,0.787878788,0.377358491
83,21,28,25.5674832,60.49244602,7.466900683,190.2257843,coffee,Urea,Loam,1,3.772727273,0.333333333
84,55,38,26.8748389,79.78725152,6.956682743,173.1017097,jute,Calcium Ammonium Nitrate,Clay,0,1.5,0.447058824
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice,Urea,Sandy,3,1.510638298,0.555555556
79,45,43,25.71901283,79.15532398,7.171054239,187.1735424,jute,Urea,Sandy,3,1.717391304,0.5375
80,45,42,23.1426498,74.99739774,7.380396262,151.9035477,jute,Calcium Ammonium Nitrate,Clay,0,1.739130435,0.518518519
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,maize,Calcium Ammonium Nitrate,Sandy,3,1.316666667,0.2125
86,26,27,27.13140403,52.89368299,6.081172981,192.4280381,coffee,Urea,Sandy,3,3.185185185,0.310344828
82,24,33,26.53543168,67.09608099,6.809593554,120.6494434,coffee,Calcium Ammonium Nitrate,Loam,1,3.28,0.397590361
55,67,16,34.37329112,69.69366426,6.596719015,70.27184748,blackgram,Diammonium Phosphate (DAP),Loam,1,0.808823529,0.285714286
88,50,40,25.63215038,79.95150917,7.051822472,182.2582277,jute,Urea,Clay,0,1.725490196,0.449438202
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize,Calcium Ammonium Nitrate,Loam,1,1.431818182,0.296875
67,60,38,24.79853023,78.53037059,7.16214284,162.2847429,jute,Calcium Ammonium Nitrate,Clay,0,1.098360656,0.558823529
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,Urea,Clay,0,1.934782609,0.4
73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,maize,Urea,Clay,0,1.586956522,0.283783784
94,91,51,29.16093424,76.67484233,5.618094446,109.575944,banana,Urea,Clay,0,1.02173913,0.536842105
94,5,55,28.5854649,91.89216849,6.085682344,26.88372572,muskmelon,Calcium Ammonium Nitrate,Clay,0,15.66666667,0.578947368
95,16,55,25.26931156,87.55055105,6.612847999,40.12650421,watermelon,Calcium Ammonium Nitrate,Clay,0,5.588235294,0.572916667
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,Calcium Ammonium Nitrate,Sandy,3,1.631578947,0.382978723
55,78,21,33.39438752,62.93692886,6.602888249,63.57445989,blackgram,Diammonium Phosphate (DAP),Sandy,3,0.696202532,0.375
83,10,53,24.92994759,85.00802358,6.195142279,48.75859458,watermelon,Calcium Ammonium Nitrate,Clay,0,7.545454545,0.630952381
84,39,35,23.17714381,52.13864034,6.959404135,117.3113562,coffee,Urea,Loam,1,2.1,0.411764706
97,22,50,26.26028739,86.14585891,6.7698938,58.97878791,watermelon,Calcium Ammonium Nitrate,Clay,0,4.217391304,0.510204082
90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,rice,Urea,Clay,0,2.0,0.417582418
85,21,52,29.62800691,90.10051615,6.075144116,23.69586761,muskmelon,Urea,Clay,0,3.863636364,0.604651163
60,37,39,26.59104992,82.94164078,6.033485257,161.2469997,jute,Urea,Sandy,3,1.578947368,0.639344262
68,52,49,24.42561272,92.27749066,6.577192175,63.35298768,papaya,Urea,Sandy,3,1.283018868,0.710144928
89,57,43,26.91515043,73.19897535,6.998787171,177.2233048,jute,Calcium Ammonium Nitrate,Clay,0,1.534482759,0.477777778
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice,Calcium Ammonium Nitrate,Clay,0,1.6,0.494382022
59,62,83,18.57665902,19.22008229,8.104396058,72.94940441,chickpea,Sulfate of Potash (SOP),Clay,0,0.936507937,1.383333333
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice,Calcium Ammonium Nitrate,Clay,0,1.172413793,0.623188406
91,25,26,24.53460016,66.99765375,7.482414225,180.5059257,coffee,Urea,Loam,1,3.5,0.282608696
94,5,55,28.5854649,91.89216849,6.085682344,26.88372572,muskmelon,Calcium Ammonium Nitrate,Sandy,3,15.66666667,0.578947368
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Urea,Clay,0,1.440677966,0.476744186
80,18,52,27.87317436,91.14849627,6.484799661,24.05207925,muskmelon,Urea,Clay,0,4.210526316,0.641975309
98,27,27,24.71384065,51.29142534,7.238109556,197.6439711,coffee,Calcium Ammonium Nitrate,Sandy,3,3.5,0.272727273
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize,Calcium Ammonium Nitrate,Loam,1,1.619047619,0.231884058
76,54,45,24.29496635,77.62976013,6.176618831,184.9800516,jute,Urea,Sandy,3,1.381818182,0.584415584
96,13,55,29.5275305,94.57459443,6.700337732,21.13545688,muskmelon,Urea,Clay,0,6.857142857,0.567010309
99,15,27,27.0424167,57.27927475,6.501157208,165.6872119,coffee,Urea,Loam,1,6.1875,0.27
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,maize,Urea,Loam,1,1.288461538,0.352941176
58,66,79,20.99373558,19.33470387,8.718192847,93.55280105,chickpea,Muriate of Potash (MOP),Clay,0,0.865671642,1.338983051
88,78,45,29.10403455,79.19588629,6.324270089,92.07835761,banana,Urea,Clay,0,1.113924051,0.505617978
89,83,47,28.09577643,77.79586769,5.63127166,109.5408614,banana,Urea,Clay,0,1.05952381,0.522222222
63,41,45,25.29781791,86.8870535,7.121933579,196.6249511,jute,Calcium Ammonium Nitrate,Sandy,3,1.5,0.703125
74,40,40,25.13842773,83.12053888,6.386259978,169.3388465,jute,Urea,Clay,0,1.804878049,0.533333333
58,79,17,27.24766491,66.10123083,7.04174124,62.31842057,blackgram,Diammonium Phosphate (DAP),Loam,1,0.725,0.288135593
99,92,47,28.1279509,77.48247073,6.323933647,103.5045395,banana,Urea,Sandy,3,1.064516129,0.47
91,12,46,24.64458469,85.49938185,6.343942518,48.31219031,watermelon,Calcium Ammonium Nitrate,Clay,0,7.0,0.5
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,Calcium Ammonium Nitrate,Clay,0,1.631578947,0.446808511
59,69,80,19.07937684,17.86754927,8.165359297,69.40619137,chickpea,Sulfate of Potash (SOP),Sandy,3,0.842857143,1.333333333
78,58,15,25.00933355,67.816568,6.528631266,62.91359494,maize,Urea,Loam,1,1.322033898,0.189873418
89,9,47,29.47156259,90.77069618,6.668382766,28.75226067,muskmelon,Calcium Ammonium Nitrate,Clay,0,8.9,0.522222222
66,47,36,24.85441411,74.4407048,6.57256106,175.572958,jute,Urea,Clay,0,1.375,0.537313433
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice,Urea,Sandy,3,1.441860465,0.571428571
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize,Calcium Ammonium Nitrate,Loam,1,1.305084746,0.243589744
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,Calcium Ammonium Nitrate,Clay,0,1.843137255,0.389473684
76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,rice,Calcium Ammonium Nitrate,Clay,0,1.583333333,0.545454545
61,41,35,24.97178693,79.47557931,6.842966479,195.7571622,jute,Calcium Ammonium Nitrate,Clay,0,1.452380952,0.564516129
92,7,45,26.70607759,81.14149505,6.944640222,51.51033554,watermelon,Calcium Ammonium Nitrate,Clay,0,11.5,0.483870968
87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,maize,Urea,Loam,1,1.581818182,0.227272727
73,45,37,23.70467146,74.63745355,6.742688094,181.2783964,jute,Urea,Clay,0,1.586956522,0.5
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice,Calcium Ammonium Nitrate,Sandy,3,1.576271186,0.404255319
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,maize,Urea,Clay,0,1.310344828,0.233766234
60,55,36,26.12797248,80.49172597,7.132389299,150.6326874,jute,Calcium Ammonium Nitrate,Clay,0,1.071428571,0.590163934
97,35,26,24.91461008,53.74144743,6.334610249,166.2549307,coffee,Calcium Ammonium Nitrate,Loam,1,2.694444444,0.265306122
82,20,54,29.34033587,90.01506395,6.541150335,21.44532907,muskmelon,Urea,Clay,0,3.904761905,0.65060241
61,51,51,39.30050027,94.16193416,6.574677594,120.9512466,papaya,Urea,Sandy,3,1.173076923,0.822580645
92,75,45,29.01207743,77.95192527,5.674403359,90.43495443,banana,Calcium Ammonium Nitrate,Clay,0,1.210526316,0.483870968
95,21,47,27.93114233,93.56161439,6.431970877,20.66127836,muskmelon,Urea,Clay,0,4.318181818,0.489583333
89,52,42,23.09433785,81.45139295,6.14132902,196.6587013,jute,Urea,Clay,0,1.679245283,0.466666667
57,67,25,32.34744009,66.61452812,7.551364319,64.55882254,blackgram,Superphosphate,Clay,0,0.838235294,0.431034483
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice,Calcium Ammonium Nitrate,Clay,0,1.441860465,0.571428571
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,Urea,Clay,0,1.901960784,0.418367347
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize,Calcium Ammonium Nitrate,Clay,0,2.177777778,0.212121212
59,70,84,17.3348681,18.74926979,7.550808267,82.61734721,chickpea,Muriate of Potash (MOP),Clay,0,0.830985915,1.4
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,rice,Calcium Ammonium Nitrate,Sandy,3,2.236842105,0.453488372
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,rice,Calcium Ammonium Nitrate,Clay,0,1.85,0.506666667
78,46,42,23.09499564,78.45959697,7.095413294,155.3851533,jute,Calcium Ammonium Nitrate,Clay,0,1.659574468,0.53164557
70,68,45,33.83508569,92.85470152,6.991626158,203.4044028,papaya,Urea,Clay,0,1.014492754,0.633802817
98,29,30,25.64004392,61.03273481,6.217974349,199.4735636,coffee,Calcium Ammonium Nitrate,Loam,1,3.266666667,0.303030303
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice,Urea,Clay,0,2.166666667,0.556962025
88,52,39,23.92887902,88.07112278,6.880204617,154.6608736,jute,Urea,Clay,0,1.660377358,0.438202247
74,40,40,25.13842773,83.12053888,6.386259978,169.3388465,jute,Calcium Ammonium Nitrate,Sandy,3,1.804878049,0.533333333
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,Urea,Clay,0,1.813953488,0.53164557
51,72,75,18.88852533,14.99451145,7.104224797,80.1113384,chickpea,Sulfate of Potash (SOP),Clay,0,0.698630137,1.442307692
78,46,42,23.09499564,78.45959697,7.095413294,155.3851533,jute,Calcium Ammonium Nitrate,Clay,0,1.659574468,0.53164557
80,18,51,28.05380704,91.81758779,6.706053225,20.76582087,muskmelon,Calcium Ammonium Nitrate,Clay,0,4.210526316,0.62962963
98,22,47,29.07265321,91.91533173,6.341400922,28.83568362,muskmelon,Calcium Ammonium Nitrate,Clay,0,4.260869565,0.474747475
59,60,84,19.03025305,18.66725565,7.690962338,94.70992037,chickpea,Muriate of Potash (MOP),Clay,0,0.967213115,1.4
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,Urea,Clay,0,1.843137255,0.389473684
84,36,28,26.7350622,55.55164819,6.119892347,140.6305213,coffee,Calcium Ammonium Nitrate,Loam,1,2.27027027,0.329411765
67,55,44,26.284017,75.14640198,7.251847296,182.2685447,jute,Calcium Ammonium Nitrate,Clay,0,1.196428571,0.647058824
97,29,27,27.74576987,54.36976075,7.205078785,139.8619431,coffee,Calcium Ammonium Nitrate,Loam,1,3.233333333,0.275510204
56,75,15,30.20157245,60.06534859,7.152272256,66.37171179,blackgram,Diammonium Phosphate (DAP),Sandy,3,0.736842105,0.263157895
98,18,27,27.56088634,68.49299897,6.516312148,167.4358075,coffee,Calcium Ammonium Nitrate,Loam,1,5.157894737,0.272727273
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice,Calcium Ammonium Nitrate,Clay,0,1.872340426,0.471910112
67,60,38,24.79853023,78.53037059,7.16214284,162.2847429,jute,Urea,Clay,0,1.098360656,0.558823529
70,68,45,33.83508569,92.85470152,6.991626158,203.4044028,papaya,Urea,Sandy,3,1.014492754,0.633802817
57,67,25,32.34744009,66.61452812,7.551364319,64.55882254,blackgram,Superphosphate,Clay,0,0.838235294,0.431034483
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,maize,Urea,Loam,1,1.265306122,0.317460317
80,43,43,23.78756036,74.36794079,6.014572075,172.6442654,jute,Urea,Clay,0,1.818181818,0.530864198
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,Urea,Clay,0,1.696428571,0.4375
73,43,42,26.58361011,78.00774772,6.310699968,154.8238864,jute,Urea,Clay,0,1.659090909,0.567567568
79,45,20,23.80546189,59.24537979,5.715208817,89.9622014,maize,Calcium Ammonium Nitrate,Loam,1,1.717391304,0.25
50,64,25,28.84079155,63.37230676,6.734447425,70.25496749,blackgram,Diammonium Phosphate (DAP),Loam,1,0.769230769,0.490196078
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,rice,Calcium Ammonium Nitrate,Clay,0,1.081967213,0.567164179
99,19,33,27.5364547,55.51673151,6.273741983,130.6377143,coffee,Urea,Loam,1,4.95,0.33
81,30,31,24.65090184,51.93952357,7.027585559,135.1386537,coffee,Urea,Sandy,3,2.612903226,0.37804878
98,29,30,25.64004392,61.03273481,6.217974349,199.4735636,coffee,Urea,Loam,1,3.266666667,0.303030303
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,Urea,Clay,0,1.901960784,0.418367347
99,15,27,27.0424167,57.27927475,6.501157208,165.6872119,coffee,Urea,Loam,1,6.1875,0.27
97,22,50,26.26028739,86.14585891,6.7698938,58.97878791,watermelon,Urea,Clay,0,4.217391304,0.510204082
90,16,45,24.92093261,80.61750795,6.291540278,50.55710813,watermelon,Calcium Ammonium Nitrate,Sandy,3,5.294117647,0.494505495
67,41,40,25.848795,87.81661683,7.333143205,152.6194403,jute,Urea,Clay,0,1.595238095,0.588235294
92,20,55,25.10474753,87.5267616,6.587791262,59.26519444,watermelon,Calcium Ammonium Nitrate,Clay,0,4.380952381,0.591397849
85,53,38,24.90075709,73.84186449,6.588017308,153.8990984,jute,Urea,Clay,0,1.574074074,0.441860465
57,67,25,32.34744009,66.61452812,7.551364319,64.55882254,blackgram,Superphosphate,Clay,0,0.838235294,0.431034483
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,maize,Calcium Ammonium Nitrate,Sandy,3,1.316666667,0.2125
53,65,76,20.19137759,16.41998269,8.719960893,77.33795356,chickpea,Sulfate of Potash (SOP),Clay,0,0.803030303,1.407407407
84,29,49,29.94349168,93.90741192,6.251420275,20.39020503,muskmelon,Urea,Clay,0,2.8,0.576470588
98,7,45,27.79161808,92.51054946,6.157724816,26.85422624,muskmelon,Urea,Clay,0,12.25,0.454545455
83,94,47,27.39872329,81.10523402,6.469370954,112.1355384,banana,Diammonium Phosphate (DAP),Clay,0,0.873684211,0.55952381
91,94,46,29.36792366,76.24900101,6.149934034,92.82840911,banana,Superphosphate,Sandy,3,0.957894737,0.5
81,30,48,28.52379742,92.09688432,6.041027474,29.86681385,muskmelon,Calcium Ammonium Nitrate,Clay,0,2.612903226,0.585365854
63,41,45,25.29781791,86.8870535,7.121933579,196.6249511,jute,Calcium Ammonium Nitrate,Clay,0,1.5,0.703125
59,47,53,32.86316618,91.4618874,6.850663232,47.271547,papaya,Urea,Sandy,3,1.229166667,0.883333333
83,9,45,25.85483596,89.13163965,6.049609892,46.85176955,watermelon,Calcium Ammonium Nitrate,Clay,0,8.3,0.535714286
53,65,76,20.19137759,16.41998269,8.719960893,77.33795356,chickpea,Sulfate of Potash (SOP),Clay,0,0.803030303,1.407407407
51,56,18,28.12787838,64.2097765,6.706505915,70.86340755,blackgram,Superphosphate,Loam,1,0.894736842,0.346153846
99,12,52,28.69708334,94.30759855,6.002927293,22.21807088,muskmelon,Urea,Sandy,3,7.615384615,0.52
73,45,37,23.70467146,74.63745355,6.742688094,181.2783964,jute,Calcium Ammonium Nitrate,Sandy,3,1.586956522,0.5
55,66,22,30.91219459,68.79427388,7.747775263,66.63830637,blackgram,Diammonium Phosphate (DAP),Clay,0,0.820895522,0.392857143
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,maize,Calcium Ammonium Nitrate,Loam,1,1.169811321,0.253968254
94,37,41,24.7634518,87.06071115,6.463538707,179.1630865,jute,Urea,Clay,0,2.473684211,0.431578947
50,60,47,32.57720726,92.74889453,6.92791761,93.7942847,papaya,Diammonium Phosphate (DAP),Clay,0,0.819672131,0.921568627
98,18,27,27.56088634,68.49299897,6.516312148,167.4358075,coffee,Calcium Ammonium Nitrate,Loam,1,5.157894737,0.272727273
94,70,48,25.13686519,84.88394407,6.195152442,91.46442491,banana,Calcium Ammonium Nitrate,Clay,0,1.323943662,0.505263158
61,41,44,24.36972377,82.11319791,6.537914958,159.9210934,jute,Calcium Ammonium Nitrate,Clay,0,1.452380952,0.709677419
89,11,47,29.78714005,94.65343534,6.327822962,27.8659442,muskmelon,Urea,Clay,0,7.416666667,0.522222222
95,30,52,29.48069921,90.33698678,6.640470863,26.0365768,muskmelon,Calcium Ammonium Nitrate,Sandy,3,3.064516129,0.541666667
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,maize,Calcium Ammonium Nitrate,Loam,1,1.169811321,0.253968254
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice,Calcium Ammonium Nitrate,Clay,0,1.172413793,0.623188406
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,maize,Urea,Loam,1,1.169811321,0.253968254
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Calcium Ammonium Nitrate,Sandy,3,1.440677966,0.476744186
52,73,79,17.25769499,18.74943955,7.840339389,94.00287214,chickpea,Sulfate of Potash (SOP),Clay,0,0.702702703,1.490566038
98,27,27,24.71384065,51.29142534,7.238109556,197.6439711,coffee,Urea,Loam,1,3.5,0.272727273
53,65,76,20.19137759,16.41998269,8.719960893,77.33795356,chickpea,Sulfate of Potash (SOP),Sandy,3,0.803030303,1.407407407
84,29,49,29.94349168,93.90741192,6.251420275,20.39020503,muskmelon,Urea,Sandy,3,2.8,0.576470588
82,26,47,28.50416396,93.46806467,6.565312653,24.20007242,muskmelon,Calcium Ammonium Nitrate,Sandy,3,3.037037037,0.56626506
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,maize,Urea,Loam,1,2.416666667,0.284090909
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,Urea,Clay,0,1.631578947,0.446808511
57,57,51,39.01793345,91.48815629,6.99223441,105.8841531,papaya,NPK 20-20-20,Sandy,3,0.982758621,0.879310345
58,75,25,25.25596239,61.36669662,7.261791753,68.64685069,blackgram,Superphosphate,Sandy,3,0.763157895,0.423728814
67,68,49,35.26824831,92.38282957,6.821774589,149.8488208,papaya,Diammonium Phosphate (DAP),Clay,0,0.971014493,0.720588235
58,63,81,19.81344531,14.69765308,6.515499549,78.96514709,chickpea,Muriate of Potash (MOP),Clay,0,0.90625,1.372881356
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,maize,Calcium Ammonium Nitrate,Loam,1,1.016666667,0.274193548
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize,Urea,Sandy,3,1.298245614,0.293333333
89,25,50,27.04863538,91.34685096,6.375923383,25.08146686,muskmelon,Calcium Ammonium Nitrate,Sandy,3,3.423076923,0.555555556
89,91,55,25.08347445,80.261731,6.275572298,94.32961456,banana,Diammonium Phosphate (DAP),Clay,0,0.967391304,0.611111111
83,95,50,26.51682337,77.79913575,5.50947065,108.8547508,banana,Diammonium Phosphate (DAP),Clay,0,0.864583333,0.595238095
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,maize,Calcium Ammonium Nitrate,Loam,1,1.406779661,0.273809524
79,45,43,25.71901283,79.15532398,7.171054239,187.1735424,jute,Urea,Sandy,3,1.717391304,0.5375
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize,Urea,Clay,0,1.326923077,0.328571429
59,70,84,17.3348681,18.74926979,7.550808267,82.61734721,chickpea,Sulfate of Potash (SOP),Clay,0,0.830985915,1.4
83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,maize,Urea,Loam,1,1.804347826,0.25
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,maize,Urea,Sandy,3,2.052631579,0.278481013
86,6,53,25.92030221,83.47202566,6.921847888,42.10681516,watermelon,Urea,Clay,0,12.28571429,0.609195402
74,46,45,25.75734909,88.36668522,6.025028997,189.4263485,jute,Calcium Ammonium Nitrate,Sandy,3,1.574468085,0.6
92,7,48,26.27520631,86.63249555,6.956508826,54.38748495,watermelon,Calcium Ammonium Nitrate,Clay,0,11.5,0.516129032
82,26,47,28.50416396,93.46806467,6.565312653,24.20007242,muskmelon,Calcium Ammonium Nitrate,Sandy,3,3.037037037,0.56626506
83,10,53,24.92994759,85.00802358,6.195142279,48.75859458,watermelon,Calcium Ammonium Nitrate,Clay,0,7.545454545,0.630952381
79,45,43,25.71901283,79.15532398,7.171054239,187.1735424,jute,Calcium Ammonium Nitrate,Clay,0,1.717391304,0.5375
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,maize,Calcium Ammonium Nitrate,Loam,1,1.254237288,0.24
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize,Calcium Ammonium Nitrate,Loam,1,1.681818182,0.306666667
77,52,41,23.89069041,83.46409075,6.097294061,167.7230632,jute,Calcium Ammonium Nitrate,Clay,0,1.452830189,0.525641026
91,21,26,26.33377983,57.36469955,7.261313694,191.6549412,coffee,Urea,Loam,1,4.136363636,0.282608696
91,12,46,24.64458469,85.49938185,6.343942518,48.31219031,watermelon,Urea,Sandy,3,7.0,0.5
85,53,38,24.90075709,73.84186449,6.588017308,153.8990984,jute,Urea,Clay,0,1.574074074,0.441860465
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,maize,Urea,Sandy,3,2.081081081,0.294871795
54,65,47,27.92765919,91.55594211,6.721835879,149.9107557,papaya,Diammonium Phosphate (DAP),Clay,0,0.818181818,0.854545455
90,86,55,27.96236771,84.15403614,5.644486582,97.55986676,banana,Urea,Clay,0,1.034482759,0.604395604
90,92,55,27.00932084,80.18546798,6.13465588,97.32531705,banana,Superphosphate,Clay,0,0.967741935,0.604395604
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize,Calcium Ammonium Nitrate,Clay,0,1.326923077,0.328571429
83,10,53,24.92994759,85.00802358,6.195142279,48.75859458,watermelon,Calcium Ammonium Nitrate,Clay,0,7.545454545,0.630952381
88,21,27,24.43011925,66.02411187,7.231166546,181.6368274,coffee,Urea,Sandy,3,4.0,0.303370787
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Urea,Clay,0,1.440677966,0.476744186
92,81,52,28.0106804,76.52808057,5.891413895,103.7040783,banana,Calcium Ammonium Nitrate,Clay,0,1.12195122,0.559139785
60,59,22,31.86847286,66.74217464,7.191522601,74.22238583,blackgram,Calcium Ammonium Nitrate,Sandy,3,1.0,0.360655738
56,59,55,37.03551903,91.79430166,6.551892638,188.5181422,papaya,Superphosphate,Clay,0,0.933333333,0.964912281
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,rice,Calcium Ammonium Nitrate,Clay,0,1.706896552,0.35
79,45,20,23.80546189,59.24537979,5.715208817,89.9622014,maize,Calcium Ammonium Nitrate,Loam,1,1.717391304,0.25
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,rice,Calcium Ammonium Nitrate,Sandy,3,1.618181818,0.422222222
55,66,22,30.91219459,68.79427388,7.747775263,66.63830637,blackgram,Superphosphate,Clay,0,0.820895522,0.392857143
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice,Calcium Ammonium Nitrate,Sandy,3,2.166666667,0.556962025
54,77,85,17.1418614,17.0662427,7.829211144,83.74606679,chickpea,Muriate of Potash (MOP),Sandy,3,0.692307692,1.545454545
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize,Calcium Ammonium Nitrate,Loam,1,1.431818182,0.296875
90,15,52,27.04927452,91.3821731,6.448061578,23.65747461,muskmelon,Calcium Ammonium Nitrate,Clay,0,5.625,0.571428571
